company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
SOLAH GIFT CO. LTD,17149972,active,ltd,,,2026-04-10,,2026-04-10,[47910, 82301],Office 18354 182-184 High Street North London United Kingdom E6 2JA
LEGACYSYNC AUTOMATION LTD,17178297,active,ltd,,,2026-04-24,,2026-04-24,[62012, 71121, 71122, 71129],167-169 Great Portland Street London England W1W 5PF
PILLAR FACILITIES & MAINTENANCE LTD,17192667,active,ltd,,,2026-04-30,,2026-04-30,[81100, 81210, 81222],71-75 Shelton Street London United Kingdom WC2H 9JQ
SNOUT CLUB LTD,17186488,active,ltd,,,2026-04-28,,2026-04-28,[47760, 47910],Silverstream House London England W1T 6EB
THE OLD CUT LONDON LTD,17178343,active,ltd,,,2026-04-24,,2026-04-24,[47190],167-169 Great Portland Street London W1W 5PF
WELLTH CLUB LTD,17178525,active,ltd,,,2026-04-24,,2026-04-24,[86900],128 City Road, London City Road London England EC1V 2NX
ATLAS STRATEGY LTD,17183923,active,ltd,,,2026-04-27,,2026-04-27,[62090],4th Floor, Silverstream House London United Kingdom W1T 6EB
IFW GROUP LTD,17182803,active,ltd,,,2026-04-27,,2026-04-27,[64209],Suite Ra01 195-197 London England E17 3NU
OSECURITY LTD,17168865,active,ltd,,,2026-04-20,,2026-04-20,[80100],71-75 Shelton Street London United Kingdom WC2H 9JQ
DELISH DISH CATERING LTD,17155528,active,ltd,,,2026-04-13,,2026-04-13,[56210],167-169 Great Portland Street London England W1W 5PF
ATLAS CAPITAL ESTATES LIMITED,17131583,active,ltd,,,2026-04-01,,2026-04-01,[68209],Salisbury House London England EC2M 6SE
HEKEN LTD,17168999,active,ltd,,,2026-04-20,,2026-04-20,[73110],19 Burford House Stockwell Road London England SW9 9PU
STERLING CLEANING LTD,17192998,active,ltd,,,2026-04-30,,2026-04-30,[81221, 81299],167-169 Great Portland Street London England W1W 5PF
DREDGE PRODUCTIONS UK LIMITED,17154368,active,ltd,,,2026-04-13,,2026-04-13,[59111],3 Queen Caroline Street London W6 9PE
DIVARA GROUP LIMITED,17150069,active,ltd,,,2026-04-10,,2026-04-10,[64209, 70100, 70229],2nd Floor College House Ruislip, United Kingdom HA4 7AE
42 CLOUDESLEY ROAD (FREEHOLD) LIMITED,17171249,active,ltd,,,2026-04-21,,2026-04-21,[98000],42 Cloudesley Road London England N1 0EB
LONDON TOWN MAINTENANCE LTD,17174716,active,ltd,,,2026-04-22,,2026-04-22,[81100],Flat 17 Berry House London England SW11 5DL
ZAFIRA CASH & CARRY LIMITED,17132584,active,ltd,,,2026-04-01,,2026-04-01,[46390, 47110],50a Penge Road London England E13 0SN
KALNAS HOLDINGS LTD,17140960,active,ltd,,,2026-04-07,,2026-04-07,[43290, 43390, 47781, 47910],9 Birkbeck Road London United Kingdom N12 8DZ
ZEN.HEM LTD,17186795,active,ltd,,,2026-04-28,,2026-04-28,[71200],167-169 Great Portland Street London England W1W 5PF
OBLEE LIMITED,17190196,active,ltd,,,2026-04-29,,2026-04-29,[62012, 63120, 77291, 82301],71-75 Shelton Street London United Kingdom WC2H 9JQ
VERNIK PROPERTY LTD,17173768,active,ltd,,,2026-04-22,,2026-04-22,[47749, 47890, 47910],167 - 169 Great Portland Street London England W1W 5PF
SELEKT SULTAN LTD,17131569,active,ltd,,,2026-04-01,,2026-04-01,[56103],29 Watford Way London England NW4 3JH
TC CLEANING LAB LTD,17145341,active,ltd,,,2026-04-09,,2026-04-09,[81229],167-169 Great Portland Street London England W1W 5PF
PROPERTYCOREOS LIMITED,17173109,active,ltd,,,2026-04-21,,2026-04-21,[63120],124 City Road London England EC1V 2NX
THE COSIEST GIRL IN CHELSEA LTD,17173785,active,ltd,,,2026-04-22,,2026-04-22,[64209],C/O Hilton Consulting Limited Canalot Studios London United Kingdom W10 5BN
ALB TRIMLAB LTD,17165797,active,ltd,,,2026-04-17,,2026-04-17,[96020],8 Gainsborough Road London England E11 1HT
ACHIE'S FISH & CHIPS LTD,17186215,active,ltd,,,2026-04-28,,2026-04-28,[56102, 56103, 56290],2nd Floor College House 17 King Edwards Road London United Kingdom HA4 7AE
