company_name,company_number,first_director,first_director_forename,source,retrieved
FIVE AKHIS (HERTS) LTD,16661462,Gavin Singh Sekhon,Gavin,Companies House /officers,2026-09-13
KRITMATTA LIMITED,16647530,Kalpesh Mayurkant Baxi,Kalpesh,Companies House /officers,2026-09-13
DEROSA MUSIC HORSHAM LIMITED,16657312,Jonathan Douglas Bliss,Jonathan,Companies House /officers,2026-09-13
WORKWELL GLOBAL LIMITED,16664010,John Hugo Hoskin,John,Companies House /officers,2026-09-13
FACTOTUM HOLDINGS LIMITED,16660881,Bobby Lane,Bobby,Companies House /officers,2026-09-13
GORILLA ORGANIC LIMITED,16675916,Philippe Ross Bunce,Philippe,Companies House /officers,2026-09-13
A&B BRICKWORK LTD,16653545,Arber Haziraj,Arber,Companies House /officers,2026-09-13
